index,zip_member,expected_external_audit,source_group,folder_path,top_family,audit_status,seconds,reason,error
11,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Long Crazy String Drops/scraping_string_drop_long.aif,FX,source_fx,Drums/Drum Loops/Loops,Drums,QUESTIONABLE_DRUM,3.094,winner selection released weak review to measured Drums because raw/physics family evidence stayed in Drums and measured drum body was strong,
12,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Long Robotic Bell Collages/long_robot_bell_glitch_collage.wav,FX,source_fx,FX/Digital Mechanical Industrial Transport/Glitches and Stutters/Generic Glitch/Long FX,FX,PASS_FX,1.942,brain and physics shared the winning category,
13,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/LongFX/SpaceShipSlowingDOwn.wav,FX,source_fx,Instruments/Instrument Loops/Loops,Instruments,FAIL_INSTRUMENT,2.855,final structure invariant sent clean non-percussive pitched loop evidence to broad Instruments instead of a contradicted FX leaf,
14,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Low Monster Drops/low_grinding_monster_drop.wav,FX,source_fx,FX/Structural and Transitional FX/Drops and Downlifters/Generic Drop or Downlifter/Long FX,FX,PASS_FX,3.377,brain and physics shared the winning category,
15,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/MediamFX/darkEnergy.wav,FX,source_fx,FX/Impacts and Hits/Short Impact/Long FX,FX,PASS_FX,2.176,brain and physics shared the winning category,
16,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Metallic Bell One Shots/dirty_bell_blip_cluster.wav,FX,source_fx,FX/Designed Noise FX/Blip/One Shots,FX,PASS_FX,0.560,brain and physics shared the winning category,
17,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Metallic Crashes/short_metal_plate_crash.aif,FX,source_fx,Drums/Percussion/Guiros Scrapes and Rasps/One Shots,Drums,PASS_DRUM_ALLOWED,0.659,measured drum one-shot claim: strong drum-anchor evidence was emitted before older voice/bass/pitched-hit fallbacks could win,
18,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Midrange String Drops/midrange_sawing_string_drop.wav,FX,source_fx,FX/Hybrid Designed FX,FX,PASS_FX,3.126,"stopped at broad bucket because terminal profile was under-supported (tiny, effective_count=3) while measured role was strong: pitched_music_loop=0.88",
19,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Organic Pads/warm_organic_motion_pad.wav,FX,source_fx,Instruments/Instrument Loops/Loops,Instruments,FAIL_INSTRUMENT,3.219,measured instrument-branch loop claim: long/repeated pitched body and branch-layer evidence contradicted a one-shot leaf before final arbitration,
20,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Rising Tray String Drops/rising_metal_string_drop_short.aif,FX,source_fx,Drums/Drum Loops/Loops,Drums,PASS_DRUM_ALLOWED,2.858,measured drum-loop claim: shape/role evidence and voter candidate support identified a broad drum loop before final arbitration,
21,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Robotic Bell Phrases/robot_bell_melody_fragment.wav,FX,source_fx,Instruments/Woodwinds/Saxophone/Loops,Instruments,FAIL_INSTRUMENT,0.916,measured sax-loop claim: reed/woodwind branch and sax-panel evidence were available before final arbitration,
22,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Robotic Bell Sliced Runs/sliced_bell_glitch_run.wav,FX,source_fx,Instruments/Woodwinds/Saxophone/Loops,Instruments,FAIL_INSTRUMENT,1.280,measured woodwind-loop claim: physics selected a dark/low-mid sax branch before final arbitration,
23,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Robotic Bell Stutters/tight_robot_bell_stutter_blip.wav,FX,source_fx,Instruments/Strings Bowed/Cello/One Shots,Instruments,FAIL_INSTRUMENT,0.837,brain and physics shared the winning category,
24,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Screams/screeming sunrise.wav,FX,source_fx,Instruments/Synths/Synth Lead/One Shots,Instruments,FAIL_INSTRUMENT,1.489,"Synth sibling candidate had direct voter support and measured audio supported stable pitched instrument structure: role=pitched_music_loop, shape=transition_drop:0.97; raw=Instruments/Synths/Synth Lead/One Shots",
25,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Shaky Glitch Loops/shaky_tremor_glitch_loop.wav,FX,source_fx,Drums/Drum Loops/Loops,Drums,QUESTIONABLE_DRUM,2.288,"raw consensus was incompatible with measured parent eligibility: role=drum_loop, confidence=0.78; raw=Instruments/Bass/Synth Bass/One Shots; fallback=Drums/Drum Loops/Loops; measured repeated rhythmic drum/bass-loop structure; pitched/bass/instrument/FX leaves require stronger non-drum evidence",
26,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Short Drum Grooves/sparse_kick_snare_loop.aif,FX,source_fx,FX/Digital Mechanical Industrial Transport/Glitches and Stutters/Generic Glitch/Long FX,FX,PASS_FX,1.862,brain and physics shared the winning category,
27,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Short Tray Hits/tiny_metal_tray_ping.aif,FX,source_fx,FX/Textures/Noise and Static/Hiss/One Shots,FX,PASS_FX,0.459,brain and physics shared the winning category,
28,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Sub Bass One Shots/clipped_sub_hit.wav,Instruments_or_FX_Sub,source_instrument_or_hybrid,Drums/Kick Drums/Generic Kick/One Shots,Drums,QUESTIONABLE_DRUM_IN_SOURCE_INSTRUMENT,0.547,"BrainVoter had a top kick candidate and measured audio supported single-event percussion: role=protected_percussive_one_shot, shape=hit_with_tail:0.91; raw=Drums/Kick Drums/Short Kick/One Shots",
29,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Time Stretched Bass Slices/chopped_bass_slice_blip.wav,FX,source_fx,Instruments/Guitar/Electric Guitar/One Shots,Instruments,FAIL_INSTRUMENT,0.520,final structure invariant kept a clean pitched non-drum hit under its strongest internal instrument candidate instead of FX,
30,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Warped Bass Growls/rubber_sub_growl_short.wav,FX,source_fx,Instruments/Instrument Loops/Loops,Instruments,FAIL_INSTRUMENT,2.104,measured instrument-branch loop claim: long/repeated pitched body and branch-layer evidence contradicted a one-shot leaf before final arbitration,
31,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/Whip Swells/fast_swiping_pad_swell.wav,FX,source_fx,FX/Structural and Transitional FX/Risers and Builds/Generic Riser/Long FX,FX,PASS_FX,2.039,brain and physics shared the winning category,
32,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/drum/Space_Horn_Drum_hit.wav,Drums,source_drums,Drums/Kick Drums/Generic Kick/One Shots,Drums,PASS_DRUM_SOURCE,1.371,brain and physics shared the winning category,
33,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/kick/TomKickCool.wav,Drums,source_drums,Drums/Kick Drums/Short Kick/One Shots,Drums,PASS_DRUM_SOURCE,0.567,winner selection released weak review to measured Drums because raw/physics family evidence stayed in Drums and measured drum body was strong,
34,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/risers/SoftChopAirRiserShort.wav,FX,source_fx,FX/Textures/Natural Ambience/Ocean/One Shots,FX,PASS_FX,0.381,brain and physics shared the winning category,
35,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron/snares/Bowling pin strike soft G.wav,Drums,source_drums,Drums/Toms/Generic Tom/One Shots,Drums,PASS_DRUM_SOURCE,0.644,measured struck-percussion parent claim: compact membrane/wood/metal/scrape evidence kept the sound under Drums before final arbitration,
36,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Loop/Brass_Woodwind/GrimyHipHop_Saxophone_15_Fm_Melody_Dark_Dusty_Warm_Loop_84bpm.wav,Instruments_or_FX_Designed,source_instrument_or_hybrid,Instruments/Instrument Loops/Loops,Instruments,PASS_INSTRUMENT_SOURCE,1.477,"concrete instrument sibling evidence conflicted across branches; broadened to Instruments/Instrument Loops instead of choosing a brittle leaf: raw=Instruments/Strings Bowed/Cello/One Shots; raw_group=string_guitar; conflicts=synth,reed,voice; role=pitched_music_loop, shape=bass_phrase:1.00",
37,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium Bounce/Loop/Bass/Kit 4 Sub Pad Key B minor 140 bpm.wav,Instruments_or_FX_Sub,source_instrument_or_hybrid,Instruments/Bass/Bass Loops,Instruments,PASS_INSTRUMENT_SOURCE,1.653,final structure invariant used decisive PhysicsVoter Bass branch evidence instead of broad Instrument Loops,
38,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium Bounce/Loop/Drums/ES_TEDR2_Claps&Snares_76.wav,Drums,source_drums,Drums/Percussion/Generic Percussion/One Shots,Drums,PASS_DRUM_SOURCE,0.584,final voice/instrument firewall released a measured protected percussive one-shot back to its Drums parent before weak brain voice or instrument leaf pressure could force review,
39,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium Bounce/Loop/Guitars/LOOP29_Koto_Pad_130BPM_Cmin.wav,Instruments_or_FX_Designed,source_instrument_or_hybrid,Instruments/Synths/Synth Lead/One Shots,Instruments,PASS_INSTRUMENT_SOURCE,3.250,"Synth sibling candidate had direct voter support and measured audio supported stable pitched instrument structure: role=pitched_music_loop, shape=pitched_phrase_shape:1.00; raw=Instruments/Instrument Loops/Loops",
40,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium Bounce/Loop/Keys/keys_@rxynoise_keyC#min_111bpm.wav,Instruments_or_FX_Designed,source_instrument_or_hybrid,Instruments/Instrument Loops/Loops,Instruments,PASS_INSTRUMENT_SOURCE,3.217,measured instrument-branch loop claim: long/repeated pitched body and branch-layer evidence contradicted a one-shot leaf before final arbitration,
41,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium Bounce/Loop/Multi_Instrument/PA2 18 A#m 120 Bpm Multi Instrument.wav,Instruments_or_FX_Designed,source_instrument_or_hybrid,Instruments/Instrument Loops/Loops,Instruments,PASS_INSTRUMENT_SOURCE,3.122,"measured mixed/pitched musical loop role had split source-identity evidence across instrument branches, so the arbiter kept the safe broad Instrument Loops role bucket: groups=keys,reed,string_guitar,synth; physics_broad=True; mixed_branch=False; role=pitched_music_loop; shape=pitched_repetition_phrase:0.96; raw=Instruments/Instrument Loops/Loops",
42,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium Bounce/Loop/Pitched_Percussion/belize87bpm_8bars_UNKWN (Bbm).wav,Instruments_or_FX_Designed,source_instrument_or_hybrid,Instruments/Instrument Loops/Loops,Instruments,PASS_INSTRUMENT_SOURCE,3.212,"instrument one-shot leaf conflicted with measured loop structure: role=pitched_music_loop, confidence=1.00; raw=Instruments/Woodwinds/Saxophone/One Shots; fallback=Instruments/Instrument Loops/Loops; measured loop/phrase structure was safer than a source-specific instrument one-shot leaf",
43,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium Bounce/Loop/SC_[[Challenger]]_Melody_Multi_Sample_2_130BPM_Amin.wav,FX,source_fx,_TO_REVIEW/Shape Conflict,_TO_REVIEW,FAIL_REVIEW,3.318,raw shared winner conflicted with measured temporal shape beat_loop=0.98 and no compatible shared candidate had enough raw support,
44,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium Bounce/Loop/Synth/CS_NJ2_135bpm_Pad_Aster_Am.wav,Instruments_or_FX_Designed,source_instrument_or_hybrid,Instruments/Synths/Pads/Loops,Instruments,PASS_INSTRUMENT_SOURCE,2.479,measured musical-loop claim: clean pitched loop body and branch/panel evidence restored depth before late broadening,
45,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium Bounce/Loop/Vocals/Money_vocals_female_rap_110bpm.wav,Instruments_or_FX_Human,source_instrument_or_hybrid,Instruments/Voice/Vocal Loops/Loops,Instruments,PASS_INSTRUMENT_SOURCE,2.687,final measured voice invariant kept strong vocal evidence in Instruments/Voice after voter/arbiter disagreement,
46,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium Bounce/One_Shot/Drums/JACKBABY_SNARE_11.wav,Drums,source_drums,Drums/Snares/Acoustic Snare/One Shots,Drums,PASS_DRUM_SOURCE,0.513,measured drum one-shot claim: strong drum-anchor evidence was emitted before older voice/bass/pitched-hit fallbacks could win,
47,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium Bounce/One_Shot/Synth/Stab 3.wav,Instruments_or_FX_Designed,source_instrument_or_hybrid,Instruments/Voice/Vocal Loops/Loops,Instruments,PASS_INSTRUMENT_SOURCE,0.648,final measured voice invariant kept strong vocal evidence in Instruments/Voice after voter/arbiter disagreement,
48,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium Bounce/One_Shot/Vocals/DOJO_FBP_Female_Vocal_Shout.wav,Instruments_or_FX_Human,source_instrument_or_hybrid,Instruments/Voice/Phrase/One Shots,Instruments,PASS_INSTRUMENT_SOURCE,0.570,measured true voice evidence rehomed broad FX/Human voice bucket to Instruments/Voice,
49,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium West Coast Bounce/Loop/Bass/STC_86_D_Bass1.wav,Instruments_or_FX_Sub,source_instrument_or_hybrid,Instruments/Bass/Bass Loops,Instruments,PASS_INSTRUMENT_SOURCE,2.925,final structure invariant used decisive PhysicsVoter Bass branch evidence instead of broad Instrument Loops,
50,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium West Coast Bounce/Loop/Drums/2.Drum Loop_1_100bpm.wav,Drums,source_drums,Drums/Drum Loops/Loops,Drums,PASS_DRUM_SOURCE,2.657,measured drum-loop claim: shape/role evidence and voter candidate support identified a broad drum loop before final arbitration,
51,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium West Coast Bounce/Loop/Fx/MS_O_01_Outlaw_Fx Police_D#minor_91bpm_Wet.wav,FX,source_fx,FX/Hybrid Designed FX,FX,PASS_FX,2.910,measured tonal-alert/siren claim: multi-lane FX and tonal-alert evidence were established before final arbitration,
52,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium West Coast Bounce/Loop/Keys/Piano 1 - 80 Bpm - Key C.wav,Instruments_or_FX_Designed,source_instrument_or_hybrid,Instruments/Keys/Piano/Loops,Instruments,PASS_INSTRUMENT_SOURCE,3.266,measured musical-loop claim: clean pitched loop body and branch/panel evidence restored depth before late broadening,
53,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium West Coast Bounce/Loop/Strings/03.strings_77bpm_Ebm.wav,Instruments_or_FX_Designed,source_instrument_or_hybrid,Instruments/Instrument Loops/Loops,Instruments,PASS_INSTRUMENT_SOURCE,3.289,"measured mixed/pitched musical loop role had split source-identity evidence across instrument branches, so the arbiter kept the safe broad Instrument Loops role bucket: groups=keys,reed,string_guitar,synth; physics_broad=True; mixed_branch=False; role=pitched_music_loop; shape=pitched_repetition_phrase:0.88; raw=Instruments/Guitar/Nylon Guitar/One Shots",
54,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium West Coast Bounce/Loop/Synth/05_Emn_198bpm_synth 1.wav,Instruments_or_FX_Designed,source_instrument_or_hybrid,Instruments/Synths/Synth Loops,Instruments,PASS_INSTRUMENT_SOURCE,2.696,measured synth-loop claim: stable pitched-loop body and synth subpanel evidence were available before final arbitration,
55,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium West Coast Bounce/Loop/Vocals/Vocal Phrase We Up 140bpm.wav,Instruments_or_FX_Human,source_instrument_or_hybrid,Instruments/Voice/Phrase/One Shots,Instruments,PASS_INSTRUMENT_SOURCE,1.628,final measured voice invariant kept strong vocal evidence in Instruments/Voice after voter/arbiter disagreement,
56,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium West Coast Bounce/Loop/WS_KIT_1_West_80s_Lead_Ebm_100BPM.wav,FX,source_fx,Instruments/Instrument Loops/Loops,Instruments,FAIL_INSTRUMENT,3.159,final structure invariant broadened a contradicted FX leaf to Instrument Loops because measured body is a non-transition pitched music loop,
57,Aaron_FX_random_sample_set_20260608_201853/FX_Aaron2/Premium West Coast Bounce/One_Shot/Fx/Riser Short Effect.wav,FX,source_fx,FX/Structural and Transitional FX/Risers and Builds/Generic Riser/Long FX,FX,PASS_FX,0.942,measured transition-FX claim: broad FX motion was established before final arbitration; ShapeVoter measured rising transition motion,
58,Aaron_FX_random_sample_set_20260608_201853/Festival Dance/One_Shot/Fx/wt_fd_fx_boom.wav,FX,source_fx,Instruments/Bass/Bass Loops,Instruments,FAIL_INSTRUMENT,0.708,final structure invariant used decisive PhysicsVoter Bass branch evidence instead of broad Instrument Loops,
59,Aaron_FX_random_sample_set_20260608_201853/Free Phonk Samples/Loop/Fx/BNG_PHO_Sample_150BPM_F#m_2jz.wav,FX,source_fx,Instruments/Instrument Loops/Loops,Instruments,FAIL_INSTRUMENT,3.151,"instrument one-shot leaf conflicted with measured loop structure: role=pitched_music_loop, confidence=0.88; raw=Instruments/Woodwinds/Flute/One Shots; fallback=Instruments/Instrument Loops/Loops; measured loop/phrase structure was safer than a source-specific instrument one-shot leaf",
60,Aaron_FX_random_sample_set_20260608_201853/Funkish/One_Shot/Sound_effect/hat01.wav,FX,source_fx,Drums/Percussion/Generic Percussion/One Shots,Drums,QUESTIONABLE_DRUM,0.645,measured drum one-shot claim: strong drum-anchor evidence was emitted before older voice/bass/pitched-hit fallbacks could win,
61,Aaron_FX_random_sample_set_20260608_201853/Loop 2/Fx/CSWW_Pan_Pipe_12_Dm_105bpm.wav,FX,source_fx,drums/percussion/bells and metallic percussion/one shots,drums,QUESTIONABLE_DRUM,1.666,winner selection released weak review to measured Drums because raw/physics family evidence stayed in Drums and measured drum body was strong,
62,Aaron_FX_random_sample_set_20260608_201853/Loop 4/Fx/Fx_08_125.wav,FX,source_fx,Drums/Drum Loops/Loops,Drums,QUESTIONABLE_DRUM,1.510,low-rhythmic direct/full body evidence beat bass/FX loop reading; raw=Drums/Percussion/Guiros Scrapes and Rasps/One Shots; fallback=Drums/Drum Loops/Loops,
63,Aaron_FX_random_sample_set_20260608_201853/One_Shot 2/Fx/ESVN_vinyl_noise_01.wav,FX,source_fx,FX/Hybrid Designed FX,FX,PASS_FX,2.687,stopped at broad bucket because PhysicsVoter measured a compound musical loop; specific terminal identity was too narrow for FX/Textures/Noise and Static/Vinyl Noise/Long FX,
64,Aaron_FX_random_sample_set_20260608_201853/PANTONE Color of the Year 2020 The Classic Blue 19-4052 Sample Pack/Loop/Fx/COY_Grandad_Sweeper_Abstract_105bpm_G.wav,FX,source_fx,Drums/Drum Loops/Loops,Drums,QUESTIONABLE_DRUM,1.552,winner selection released weak review to measured Drums because raw/physics family evidence stayed in Drums and measured drum body was strong,
65,Aaron_FX_random_sample_set_20260608_201853/PANTONE Color of the Year 2020 The Classic Blue 19-4052 Sample Pack/One_Shot/Fx/COY_Bar_Wave_Riser_105bpm_D.wav,FX,source_fx,Drums/Toms/Generic Tom/One Shots,Drums,QUESTIONABLE_DRUM,1.794,winner selection released weak review to measured Drums because raw/physics family evidence stayed in Drums and measured drum body was strong,
66,Aaron_FX_random_sample_set_20260608_201853/Premium Afropop/One_Shot/Fx/SS_AHV_Ambience_Am_01.wav,FX,source_fx,Instruments/Woodwinds/Saxophone/Loops,Instruments,FAIL_INSTRUMENT,1.538,final structure invariant kept measured sax/reed loop body out of FX/review/generic sibling outcomes,
67,Aaron_FX_random_sample_set_20260608_201853/Premium Breakcore/Loop/Fx/01_FX_Jungle_Break_170BPM.wav,FX,source_fx,Drums/Drum Loops/Loops,Drums,QUESTIONABLE_DRUM,2.056,winner selection released weak review to measured Drums because raw/physics family evidence stayed in Drums and measured drum body was strong,
68,Aaron_FX_random_sample_set_20260608_201853/Premium Breakcore/One_Shot/Fx/STCR2_MDB_FX_One_Shot_Vocal_Sweep_Life.wav,FX,source_fx,Instruments/Instrument Loops/Loops,Instruments,FAIL_INSTRUMENT,2.287,"concrete instrument sibling evidence conflicted across branches; broadened to Instruments/Instrument Loops instead of choosing a brittle leaf: raw=Instruments/Strings Bowed/Cello/One Shots; raw_group=string_guitar; conflicts=synth,reed; role=pitched_reed_or_instrument_loop, shape=pitched_repetition_phrase:0.98",
69,Aaron_FX_random_sample_set_20260608_201853/Premium Deep House/Loop/Fx/DeepTechKitFour4-Fx-Uplifter_120bpm.wav,FX,source_fx,Drums/Drum Loops/Loops,Drums,QUESTIONABLE_DRUM,0.834,low-rhythmic direct/full body evidence beat bass/FX loop reading; raw=FX/Structural and Transitional FX/Risers and Builds/Generic Riser/Long FX; fallback=Drums/Drum Loops/Loops,
70,Aaron_FX_random_sample_set_20260608_201853/Premium Future Rave/Loop/Fx/5.FX down sweep 128bpm.wav,FX,source_fx,Drums/Drum Loops/Loops,Drums,QUESTIONABLE_DRUM,2.142,low-rhythmic direct/full body evidence beat bass/FX loop reading; raw=Drums/Cymbals/Crash Cymbal/One Shots; fallback=Drums/Drum Loops/Loops,
71,Aaron_FX_random_sample_set_20260608_201853/Premium Future Rave/One_Shot/Fx/AMV_001HDEV1_sfx_risers_house_edm_one_shot_lowend.wav,FX,source_fx,FX/Structural and Transitional FX/Drops and Downlifters/Generic Drop or Downlifter/Long FX,FX,PASS_FX,1.144,measured transition-FX claim: broad FX motion was established before final arbitration; ShapeVoter measured falling/down transition motion,
72,Aaron_FX_random_sample_set_20260608_201853/Premium Italo Disco/Loop/Fx/RT Construction Kit 07 Vocoder Synth FX Loop X 115.wav,FX,source_fx,Instruments/Instrument Loops/Loops,Instruments,FAIL_INSTRUMENT,2.559,"raw consensus was incompatible with measured parent eligibility: role=pitched_music_loop, confidence=0.80; raw=FX/Digital Mechanical Industrial Transport/Glitches and Stutters/Generic Glitch/Long FX; fallback=Instruments/Instrument Loops/Loops; measured sustained pitched musical phrase/loop; drum, animal, foley, and long-FX leaves are not eligible",
73,Aaron_FX_random_sample_set_20260608_201853/Premium Latin Hip-Hop/One_Shot/Fx/Sound Fx Spanish Crowd.wav,FX,source_fx,Instruments/Synths/Synth Lead/One Shots,Instruments,FAIL_INSTRUMENT,3.271,brain and physics shared the winning category,
74,Aaron_FX_random_sample_set_20260608_201853/Premium NeoClassical/Loop/Fx/138_SFX_Loop_Sphere - ADSR_303STRATEGY.wav,FX,source_fx,Instruments/Instrument Loops/Loops,Instruments,FAIL_INSTRUMENT,2.116,measured pitched musical structure kept curated smoke example out of review; raw=Drums/Kick Drums/Generic Kick/One Shots; fallback=Instruments/Instrument Loops/Loops,
75,Aaron_FX_random_sample_set_20260608_201853/Premium Schranz/Loop/Fx/NS_Uncharted_Tonal_Loop_G_150.wav,FX,source_fx,Instruments/Synths/Synth Loops,Instruments,FAIL_INSTRUMENT,2.387,measured instrument-branch loop claim: long/repeated pitched body and branch-layer evidence contradicted a one-shot leaf before final arbitration,
76,Aaron_FX_random_sample_set_20260608_201853/Premium Schranz/One_Shot/Fx/WAHH_FX_Impact_03.wav,FX,source_fx,Drums/Drum Loops/Loops,Drums,PASS_DRUM_ALLOWED,2.561,measured drum-loop claim: shape/role evidence and voter candidate support identified a broad drum loop before final arbitration,
77,Aaron_FX_random_sample_set_20260608_201853/Premium Trip-Hop/Loop/Fx/SL_Circuit_Bent_Groove_03_085_BPM.wav,FX,source_fx,Instruments/Instrument Loops/Loops,Instruments,FAIL_INSTRUMENT,2.818,generic pitched/mixed loop role chose broad Instrument Loops instead of an over-specific sax/guitar/synth/one-shot leaf,
78,Aaron_FX_random_sample_set_20260608_201853/Premium West Coast Bounce/Loop/Fx/MS_O_01_Outlaw_Fx Police_D#minor_91bpm_Wet.wav,FX,source_fx,FX/Hybrid Designed FX,FX,PASS_FX,3.006,measured tonal-alert/siren claim: multi-lane FX and tonal-alert evidence were established before final arbitration,
79,Aaron_FX_random_sample_set_20260608_201853/Premium West Coast Bounce/One_Shot/Fx/Riser Short Effect.wav,FX,source_fx,FX/Structural and Transitional FX/Risers and Builds/Generic Riser/Long FX,FX,PASS_FX,0.960,measured transition-FX claim: broad FX motion was established before final arbitration; ShapeVoter measured rising transition motion,
80,Aaron_FX_random_sample_set_20260608_201853/Supplements Vol. 1/One_Shot/Fx/zap.wav,FX,source_fx,Drums/Kick Drums/Generic Kick/One Shots,Drums,QUESTIONABLE_DRUM,0.612,measured kick one-shot claim: sub/kick transient evidence and drum candidate support were established before final arbitration,
